먹을,test
가격,価格
가구,家具
가구점,家具店
가까워지다,近づく、親しくなる
가까이,近く
가꾸다,栽培する
가끔씩,時折、時たま
가난,貧乏
가늘다,細い
가능성,可能性
가두다,閉じ込める
가득,いっぱい、いっぱいに
가라앉다,沈む
가렵다,かゆい
가로,横、横に
가루,粉
가루비누,粉石鹸
가리다,選ぶ
가리키다,示す
가만,そっと
가만히,じっと、おとなしく、静かに
가면,仮面
가볍게,軽く
가사,家事
가상,仮想
가슴 둘레,胸囲
가위,はさみ
가이드,ガイド
가정,家庭
가족적,家族的
가지,枝
가짜,偽者
가치,価値
각자,各自
간격,間隔
간결,簡潔だ
간단,簡単だ
간단히,簡単に
간식,おやつ
간장,醤油
간판,看板
갈다,替える
갈색,褐色、茶色
갈수록,ますます
갈아입다,着替える
갈아타다,乗り換える
감각,感覚
감격,感激する
감독,監督
감동,感動
감동적,感動的
감자,じゃがいも
감정,感情
감추다,隠す
갑작스럽다,急だ、突然だ
갔다오다,行ってくる
강물,川の水、川水
강사,講師
강의실,講義室
강조,強調
개다,晴れる
개막식,開幕式、開会式
개방,開放
개방적,開放的
개별,個別
개새끼,犬野郎、犬の子
개선,改善
개인,個人
개인적,個人的
객,客
거센소리,激音
거스름돈,お釣り
거절,拒絶
거짓말,嘘
걱정,心配する
건강진단,健康診断
건너가다,渡っていく
건너다,渡る、移る
건너편,向こう側、向かい側
건조,乾燥する
걸레질,雑巾がけ
걸어가다,歩いていく
검사,検査
검은색,黒
겁,恐れ、怖さ
게다가,その上、それに
게으르다,怠ける、怠惰だ
게임기,ゲーム機
겨울잠,冬眠
격음,激音
견디다,耐える
결과적,結果的
결국,結局
결론,結論
결석,欠席
결승전,決勝戦
결심,決心
결정되다,決定される
결코,決して
결혼식,結婚式
결혼식장,結婚式場
겹치다,重なる
경기,競技
경영,経営
경영자,経営者
경우,場合
경쟁,競争
경제,経済
경제적,経済力
경찰,警察
경찰서,警察署
경치,景色
경치가 좋다,景色がよい
경향,傾向
경험,経験
곁,そば
계산대,レジ
계산서,計算書
계약,契約
계절,季節
계획성,計画性
고교,高校
고구마,さつまいも
고등학생,高校生
고려,考慮
고르다,選ぶ
고마움,ありがたみ
고모,おば（父の姉妹）
고민,悩み
고생,苦労
고생,苦しむ
고속도로,高速道路
고속버스,高速バス
고용,雇用
고이다,たまる、にじむ
고인,故人
고장,故障
고장나다,故障する
고정,固定する
고지서,告知書
고층,高層
고치다,直す
고통,苦痛
곡,曲
골목,路地、横丁
골프,ゴルフ
곰탕,コムタン
곱다,美しい
곳,所
공간,空間
공감,共感する
공공,公共
공공요금,公共料金
공기,空気
공립,公立
공무원,公務員
공사,工事
공장,工場
공중전화,公衆電話
공짜,無料
공책,ノート
공통,共通
공화국,共和国
과,～課
과거,過去
과로움,苦しさ
과목,科目
과반수,過半数
과연,果たして
과장,課長
과정,過程
과제,課題
